display_name,centroid_lat,centroid_long,radius
Moortown,53.843505,-1.535301,1.866000
Collyhurst,53.495580,-2.219287,0.709000
Hengrove,51.421185,-2.571234,0.655000
Bedminster,51.438806,-2.600858,1.574000
Paddington,51.517786,-0.178865,1.461000
Hendon,51.585925,-0.228651,1.659000
Dundonald,54.590292,-5.808610,3.049000
Dowanhill,55.875979,-4.297259,0.567000
Fairfield,53.412669,-2.941181,0.883000
Camberwell,51.473761,-0.087411,1.309000
Middlesbrough,54.547092,-1.205845,15.892000
Northolt,51.542626,-0.374692,1.736000
Rusholme,53.453214,-2.229944,1.150000
West Ealing,51.510441,-0.323707,0.924000
Blackley,53.521411,-2.212191,2.459000
Slateford Road,55.932822,-3.233672,0.654000
Baberton,55.909821,-3.287487,0.584000
Eastham,51.532268,0.052392,1.139000
Colindale,51.591346,-0.251521,1.110000
Ealing Broadway,51.513213,-0.310146,1.433000
Olton,52.439722,-1.809835,1.081000
Ashley Down,51.480238,-2.581485,0.298000
Oxton,53.384242,-3.044886,1.064000
Moseley,52.446763,-1.879335,2.142000
Swindon,51.570503,-1.788746,13.499000
Hall Green,52.432124,-1.843701,1.791000
Weybridge,51.369713,-0.449844,1.745000
Lambeth,51.467536,-0.116841,2.216000
Chelmsley Wood,52.478263,-1.741474,1.645000
Roseburn,55.943679,-3.232797,0.391000
Penylan,51.496948,-3.157294,0.634000
Muswell Hill,51.593620,-0.142461,1.265000
St Pauls,51.463099,-2.584182,0.613000
Newtown,52.494359,-1.900854,0.475000
Shettleston,55.851649,-4.172569,1.252000
Bloomfield,54.592547,-5.885868,0.266000
Derby,52.899221,-1.463688,18.104000
Beckenham,51.405379,-0.033203,1.765000
Marston Green,52.469247,-1.742436,0.952000
Selly Park,52.439366,-1.916493,0.724000
Llandaff North,51.503599,-3.223709,0.768000
Anniesland,55.892320,-4.323811,0.817000
Bradford,53.789839,-1.769007,10.513000
Grange,55.932052,-3.183223,0.942000
Adel,53.852440,-1.593246,1.352000
Castlefield,53.472269,-2.260581,0.402000
Drylaw,55.965024,-3.247737,0.790000
Llanedeyrn,51.513876,-3.153123,0.583000
Frenchay,51.489907,-2.533367,1.719000
Shirehampton,51.488841,-2.677874,0.727000
Sneinton,52.951189,-1.125931,0.638000
Chelsea,51.486668,-0.176996,1.844000
Meadows,52.939752,-1.148699,0.720000
Bow,51.525045,-0.030092,1.631000
Willesden Green,51.549325,-0.223578,1.551000
Quinton,52.458160,-1.991677,1.555000
Woodhouse,53.815240,-1.553742,0.275000
Finchley,51.604505,-0.184216,1.739000
Holywood,54.637188,-5.832667,2.144000
Cheadle,53.383455,-2.211211,2.544000
Pinner,51.592127,-0.386559,1.541000
Hunslet,53.774495,-1.532053,1.106000
Cambuslang,55.814144,-4.168165,3.315000
Clifton Village,51.453661,-2.620300,0.327000
Thorneywood,52.963469,-1.123370,0.709000
Liverpool Street,51.520567,-0.072809,1.181000
Lewisham,51.455087,-0.014363,2.641000
Summerston,55.902938,-4.289702,0.624000
Bartley Green,52.437463,-1.997945,1.542000
Craigmillar,55.931359,-3.140413,0.625000
Birkenhead,53.384507,-3.029115,3.240000
Bexleyheath,51.463618,0.143482,1.989000
Crosshill,55.835319,-4.259801,0.745000
Penny Lane,53.388715,-2.916785,0.432000
Fairmilehead,55.904582,-3.211206,1.447000
Redland,51.468788,-2.605446,0.991000
Bayswater,51.515187,-0.182347,1.197000
